HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side
Earth,False,TRAPPIST-1e,28.0,False,0.0,55.0,0.0,656.0,0.0,False,,,
Earth,False,TRAPPIST-1e,17.0,False,0.0,1195.0,31.0,0.0,0.0,False,F,575,P
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,C,329,S
Mars,False,TRAPPIST-1e,20.0,False,,2.0,289.0,976.0,0.0,True,F,1800,P
Europa,True,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,True,C,18,P
Mars,False,TRAPPIST-1e,37.0,False,1000.0,0.0,80.0,40.0,0.0,False,F,1601,P
Mars,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,,True,F,86,S
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,G,1122,P
Europa,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,False,B,261,P
Earth,False,TRAPPIST-1e,21.0,False,644.0,0.0,0.0,0.0,2.0,False,F,1561,S
Europa,False,TRAPPIST-1e,40.0,True,0.0,11.0,0.0,2205.0,1295.0,True,C,105,S
Earth,False,TRAPPIST-1e,15.0,False,0.0,610.0,267.0,,0.0,False,F,1469,P
Mars,False,TRAPPIST-1e,31.0,False,915.0,0.0,1313.0,370.0,0.0,False,F,1278,P
Mars,False,TRAPPIST-1e,41.0,False,396.0,0.0,653.0,0.0,0.0,False,E,529,P
Mars,False,TRAPPIST-1e,30.0,False,531.0,807.0,35.0,200.0,0.0,False,F,893,S
,False,PSO J318.5-22,32.0,False,0.0,58.0,0.0,0.0,642.0,True,G,330,P
Mars,False,TRAPPIST-1e,38.0,True,66.0,0.0,991.0,0.0,0.0,False,D,113,P
Earth,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True,G,376,P
Earth,False,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,False,G,1417,S
Earth,False,TRAPPIST-1e,20.0,False,0.0,52.0,0.0,110.0,614.0,False,F,1545,S
Earth,False,TRAPPIST-1e,45.0,False,2.0,338.0,307.0,64.0,0.0,False,F,1746,S
Europa,False,TRAPPIST-1e,46.0,False,0.0,3477.0,0.0,1.0,5543.0,False,D,171,S
Mars,False,TRAPPIST-1e,58.0,False,55.0,0.0,756.0,246.0,100.0,False,F,211,S
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,G,660,S
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,B,119,P
Earth,False,55 Cancri e,13.0,False,8.0,1385.0,1445.0,250.0,8.0,True,F,872,S
Europa,True,TRAPPIST-1e,32.0,False,,0.0,0.0,0.0,0.0,True,E,426,P
Mars,False,TRAPPIST-1e,,False,236.0,699.0,332.0,31.0,0.0,True,E,406,S
Mars,False,TRAPPIST-1e,22.0,False,804.0,0.0,378.0,0.0,0.0,False,E,352,P
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,E,6,S
Earth,False,55 Cancri e,19.0,False,0.0,0.0,717.0,1.0,0.0,True,E,579,S
Europa,False,TRAPPIST-1e,31.0,False,0.0,2520.0,1.0,1.0,0.0,True,B,183,S
Earth,False,TRAPPIST-1e,30.0,False,0.0,495.0,,0.0,153.0,False,F,295,P
Europa,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,,True,D,20,S
Earth,False,PSO J318.5-22,28.0,False,545.0,0.0,501.0,0.0,0.0,False,F,1400,P
Mars,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,True,F,1779,S
Earth,False,TRAPPIST-1e,18.0,False,0.0,18.0,73.0,2134.0,25.0,False,F,1427,P
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True,F,416,S
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,True,G,94,P
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,79.0,,0.0,False,F,499,P
Europa,False,TRAPPIST-1e,40.0,False,0.0,1674.0,0.0,269.0,4.0,True,C,339,S
Earth,,PSO J318.5-22,23.0,False,64.0,4.0,0.0,1125.0,,False,F,1463,P
Europa,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,B,86,S
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,D,250,P
Mars,False,TRAPPIST-1e,56.0,False,4694.0,0.0,2661.0,51.0,0.0,False,F,356,P
Earth,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,True,G,1349,S
Earth,False,55 Cancri e,31.0,False,23.0,0.0,0.0,,17.0,False,G,731,S
Earth,True,PSO J318.5-22,26.0,False,0.0,0.0,0.0,0.0,0.0,False,G,81,P
Earth,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,False,G,1137,P
Earth,False,PSO J318.5-22,22.0,False,0.0,0.0,0.0,48.0,653.0,True,G,1020,S
Earth,True,PSO J318.5-22,27.0,False,0.0,,0.0,0.0,0.0,False,G,36,S
Earth,False,TRAPPIST-1e,20.0,False,0.0,142.0,0.0,3528.0,92.0,False,G,1317,P
